2019-07-17 15:24:53,534 thread:11376 INFO crawl book url, thread *Crawl book url thread 1*  ==>RUN
2019-07-17 15:24:53,535 thread:116 INFO crawl book url, thread *Crawl book url thread 2*  ==>RUN
2019-07-17 15:24:59,650 thread:116 INFO 分类：B0-0， 统计：2904
2019-07-17 15:24:59,788 thread:11376 INFO 分类：B0， 统计：11825
2019-07-17 15:25:03,593 thread:11376 INFO |B0 2018| count: 288
2019-07-17 15:25:10,082 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000017958068&d=F92F8AF764F0CC6ED16119F28EC697FF&fenlei=02020505
2019-07-17 15:25:10,082 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000017961060&d=22C46413F4A7A17B8AE7BBADB28733B9&fenlei=02020206
2019-07-17 15:25:10,082 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000018107027&d=43236E1C579B62E50C23A8B9F4C77B0D&fenlei=0202
2019-07-17 15:25:10,082 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000017940312&d=1B89350BE1E07117B5E58166E124AACD&fenlei=02020302
2019-07-17 15:25:10,082 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000017949205&d=ACBB00B396E662176CC07BA03D584409&fenlei=020204
2019-07-17 15:25:10,082 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000017949808&d=7286483890088F55C057945736740E46&fenlei=02020209
2019-07-17 15:25:10,083 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000017951613&d=5202FEB82C2876535696F28E0C01B954&fenlei=02020509
2019-07-17 15:25:10,083 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000030408554&d=04B80253B5F1E328F578CCD4BA8B50B6&fenlei=02020207
2019-07-17 15:25:10,083 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000018107603&d=1AE12EC7D00EFD729A16A83632C72F06&fenlei=02020506
2019-07-17 15:25:10,083 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000018107381&d=2235CCF4CB19AD6ED034883C5AF8EFB3&fenlei=020201
2019-07-17 15:25:10,083 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000018137040&d=4B2C13612512A47B485CA3DD9E10FDFF&fenlei=02020509
2019-07-17 15:25:10,083 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000018145719&d=83B9FE1F203B85D1A19A4E6A7F5774AF&fenlei=020201
2019-07-17 15:25:10,083 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000018144539&d=3D255874C5C9133B71632E6F4AD97962&fenlei=020201
